VEHICLE_ID,EVENT_TYPE,CREATED_AT,FILTER_RESULTS,FILE_BUCKET,FILE_KEY,OFFLINE_ID,CE_OFFLINE_ID,START_TIME,TIME_DIFFERENCE_BETWEEN_CONSECUTIVE_EVENTS
1421451,reserved33,2023-12-26 15:52:00,{},keep-truckin-data-lake,production/core/fis/type=driver_performance_message/date=2023-12-26/hour=15/b8513639-1151-4c4a-b04e-8032d0b9e34e.json.gz,34a11237-ea23-4265-9ad2-d91ec653307e,b8513639-1151-4c4a-b04e-8032d0b9e34e,2023-12-22T21:49:54.729000,
1421451,reserved33,2023-12-26 19:51:00,{},keep-truckin-data-lake,production/core/fis/type=driver_performance_message/date=2023-12-26/hour=19/8b5ce819-99ea-4a01-9633-ea441f0d7971.json.gz,8bbc5955-4f73-406e-8e2b-097283cf861c,8b5ce819-99ea-4a01-9633-ea441f0d7971,2023-12-26T19:50:24.043000,0 days 03:59:00
1421451,reserved33,2023-12-26 21:19:00,{},keep-truckin-data-lake,production/core/fis/type=driver_performance_message/date=2023-12-26/hour=21/28802f06-f6b1-4751-aafb-e56d5ada1b7f.json.gz,e631c72f-b4f6-4943-83f7-447423d3b209,28802f06-f6b1-4751-aafb-e56d5ada1b7f,2023-12-26T21:19:20.162000,0 days 01:28:00
1421451,reserved33,2023-12-27 02:28:00,{},keep-truckin-data-lake,production/core/fis/type=driver_performance_message/date=2023-12-27/hour=2/bf462c03-f2b0-426e-bae5-bc3618d8002f.json.gz,5058477e-63a1-4e0b-9e3e-0c7709661e22,bf462c03-f2b0-426e-bae5-bc3618d8002f,2023-12-27T02:27:22.239000,0 days 05:09:00
1421451,reserved33,2023-12-27 14:48:00,{},keep-truckin-data-lake,production/core/fis/type=driver_performance_message/date=2023-12-27/hour=14/24c2bb39-cc78-4818-a812-4f58855f3a3b.json.gz,22fce321-9900-4165-ac71-147902d7b669,24c2bb39-cc78-4818-a812-4f58855f3a3b,2023-12-27T14:47:34.556000,0 days 12:20:00
1421451,reserved33,2023-12-27 15:25:00,{},keep-truckin-data-lake,production/core/fis/type=driver_performance_message/date=2023-12-27/hour=15/14248e12-7472-457b-af75-3453eb72242e.json.gz,3625b80b-9d2a-4b41-99ac-e94ab658d171,14248e12-7472-457b-af75-3453eb72242e,2023-12-27T15:24:25.848000,0 days 00:37:00
1421451,reserved33,2023-12-27 15:51:00,{},keep-truckin-data-lake,production/core/fis/type=driver_performance_message/date=2023-12-27/hour=15/5dc7160a-d293-435c-88fb-e959a740b346.json.gz,83e72b1a-777e-4c70-a370-8c6c85d8636f,5dc7160a-d293-435c-88fb-e959a740b346,2023-12-27T15:50:48.106000,0 days 00:26:00
1421451,reserved33,2023-12-28 16:17:00,{},keep-truckin-data-lake,production/core/fis/type=driver_performance_message/date=2023-12-28/hour=16/d755c50d-ef9c-4575-8b37-1e6bd41edf4e.json.gz,92288377-92fe-4057-b369-eb1ea3574e3a,d755c50d-ef9c-4575-8b37-1e6bd41edf4e,2023-12-28T16:17:12.335000,1 days 00:26:00
1421451,reserved33,2023-12-28 16:45:00,{},keep-truckin-data-lake,production/core/fis/type=driver_performance_message/date=2023-12-28/hour=16/21cc2556-8d74-424c-b8ba-8e07bdbfcc03.json.gz,39d16b29-096f-420a-99a5-8a7a74831172,21cc2556-8d74-424c-b8ba-8e07bdbfcc03,2023-12-28T16:44:30.327000,0 days 00:28:00
1421451,reserved33,2023-12-28 17:05:00,{},keep-truckin-data-lake,production/core/fis/type=driver_performance_message/date=2023-12-28/hour=17/9e7db938-c125-4e51-ad93-0b38b9ef9c3d.json.gz,2ab81764-4fdd-4b44-88f4-b6466dac7c19,9e7db938-c125-4e51-ad93-0b38b9ef9c3d,2023-12-28T17:04:31.527000,0 days 00:20:00
